日期,最高温度,最低温度
2022年01月01日,12, 6
2022年01月02日,12, 5
2022年01月03日,10, 8
2022年01月04日,10, 6
2022年01月05日,13, 6
2022年01月06日,11, 9
2022年01月07日,10, 8
2022年01月08日,12, 7
2022年01月09日,14, 6
2022年01月10日,12, 7
2022年01月11日,14, 9
2022年01月12日,11, 9
2022年01月13日,10, 8
2022年01月14日,12, 7
2022年01月15日,12, 8
2022年01月16日,12, 8
2022年01月17日,13, 5
2022年01月18日,16, 5
2022年01月19日,17, 6
2022年01月20日,12,10
2022年01月21日,11, 9
2022年01月22日,12, 9
2022年01月23日,11, 9
2022年01月24日,11, 9
2022年01月25日,11, 8
2022年01月26日,10, 8
2022年01月27日,10, 7
2022年01月28日,8, 6
2022年01月29日,8, 4
2022年01月30日,11, 5
2022年01月31日,10, 5
2022年02月01日,8, 6
2022年02月02日,8, 5
2022年02月03日,10, 4
2022年02月04日,11, 6
2022年02月05日,11, 7
2022年02月06日,8, 6
2022年02月07日,8, 5
2022年02月08日,8, 6
2022年02月09日,9, 5
2022年02月10日,9, 7
2022年02月11日,10, 7
2022年02月12日,9, 7
2022年02月13日,14, 6
2022年02月14日,17, 6
2022年02月15日,17,10
2022年02月16日,14,10
2022年02月17日,12, 8
2022年02月18日,10, 8
2022年02月19日,7, 5
2022年02月20日,8, 5
2022年02月21日,10, 6
2022年02月22日,9, 3
2022年02月23日,12, 3
2022年02月24日,14, 7
2022年02月25日,14, 7
2022年02月26日,15, 8
2022年02月27日,18, 7
2022年02月28日,17,11
2022年03月01日,18,11
2022年03月02日,19,11
2022年03月03日,19,10
2022年03月04日,19,10
2022年03月05日,20,11
2022年03月06日,19,10
2022年03月07日,23,10
2022年03月08日,25,12
2022年03月09日,26,14
2022年03月10日,27,14
2022年03月11日,29,16
2022年03月12日,29,18
2022年03月13日,30,18
2022年03月14日,29,19
2022年03月15日,32,20
2022年03月16日,25,20
2022年03月17日,28,18
2022年03月18日,31,17
2022年03月19日,32,20
2022年03月20日,24,15
2022年03月21日,16,12
2022年03月22日,14,11
2022年03月23日,19,12
2022年03月24日,22,12
2022年03月25日,21,13
2022年03月26日,15,13
2022年03月27日,17,11
2022年03月28日,24,11
2022年03月29日,24,15
2022年03月30日,20,15
2022年03月31日,15,12
2022年04月01日,14,12
2022年04月02日,17,10
2022年04月03日,24,11
2022年04月04日,17,14
2022年04月05日,21,13
2022年04月06日,21,12
2022年04月07日,27,12
2022年04月08日,29,15
2022年04月09日,28,17
2022年04月10日,30,17
2022年04月11日,33,18
2022年04月12日,24,14
2022年04月13日,25,15
2022年04月14日,20,15
2022年04月15日,15,12
2022年04月16日,13,11
2022年04月17日,14,11
2022年04月18日,20,12
2022年04月19日,22,14
2022年04月20日,26,15
2022年04月21日,29,17
2022年04月22日,28,18
2022年04月23日,30,20
2022年04月24日,26,18
2022年04月25日,27,20
2022年04月26日,30,19
2022年04月27日,30,19
2022年04月28日,25,17
2022年04月29日,27,17
2022年04月30日,19,15
2022年05月01日,17,12
2022年05月02日,23,13
2022年05月03日,26,14
2022年05月04日,30,16
2022年05月05日,32,19
2022年05月06日,33,20
2022年05月07日,31,21
2022年05月08日,32,21
2022年05月09日,25,19
2022年05月10日,29,19
2022年05月11日,25,20
2022年05月12日,28,19
2022年05月13日,30,18
2022年05月14日,19,17
2022年05月15日,17,13
2022年05月16日,23,14
2022年05月17日,24,18
2022年05月18日,19,16
2022年05月19日,22,16
2022年05月20日,25,18
2022年05月21日,24,20
2022年05月22日,24,17
2022年05月23日,28,19
2022年05月24日,31,20
2022年05月25日,31,23
2022年05月26日,26,22
2022年05月27日,23,20
2022年05月28日,26,20
2022年05月29日,28,19
2022年05月30日,29,21
2022年05月31日,31,22
2022年06月01日,30,23
2022年06月02日,29,23
2022年06月03日,29,24
2022年06月04日,28,21
2022年06月05日,29,21
2022年06月06日,27,21
2022年06月07日,32,22
2022年06月08日,30,23
2022年06月09日,26,22
2022年06月10日,26,21
2022年06月11日,25,22
2022年06月12日,24,21
2022年06月13日,28,21
2022年06月14日,31,22
2022年06月15日,33,23
2022年06月16日,31,24
2022年06月17日,30,24
2022年06月18日,31,23
2022年06月19日,31,23
2022年06月20日,33,25
2022年06月21日,34,26
2022年06月22日,33,26
2022年06月23日,30,24
2022年06月24日,32,24
2022年06月25日,36,27
2022年06月26日,36,25
2022年06月27日,29,23
2022年06月28日,34,24
2022年06月29日,36,25
2022年06月30日,37,27
2022年07月01日,33,25
2022年07月02日,32,25
2022年07月03日,32,25
2022年07月04日,34,26
2022年07月05日,36,27
2022年07月06日,39,29
2022年07月07日,39,27
2022年07月08日,39,28
2022年07月09日,39,29
2022年07月10日,39,31
2022年07月11日,40,32
2022年07月12日,40,32
2022年07月13日,40,33
2022年07月14日,41,33
2022年07月15日,40,34
2022年07月16日,39,31
2022年07月17日,36,30
2022年07月18日,33,27
2022年07月19日,31,25
2022年07月20日,30,24
2022年07月21日,34,26
2022年07月22日,30,25
2022年07月23日,31,23
2022年07月24日,34,25
2022年07月25日,36,26
2022年07月26日,39,26
2022年07月27日,33,27
2022年07月28日,35,26
2022年07月29日,37,27
2022年07月30日,38,29
